remoteId,published,modified,Titolo,"Descrizione breve",Descrizione,"Tipologia di luogo",lat,lon,address,Immagine,Comune,Tags,Fonte,Indirizzo,"Indirizzo web",Email,Telefono,"Galleria immagini"
99ede14d224c0d0917fe39716c741576,2015-01-15T12:04:27+01:00,2015-01-15T12:04:27+01:00,"Macchine agricole impianti zootecnici Canestrini Nello",,,,46.421047,11.089043,"Via S. Stefano, 39 Cloz",,,,,"Via S. Stefano, 39 Cloz",,,0463-874559,
de297ca5866de1dd6f16d4510ac0c067,2015-01-15T12:07:06+01:00,2015-01-15T12:07:06+01:00,"Leonardo Technology di Eccel Michele",,,,46.416159,11.084549,"Piazza B. Franch 25 Cloz",,,,,"Piazza B. Franch 25 Cloz",,,,
00df0258c4772957724b5541aade9698,2015-01-15T12:07:38+01:00,2015-01-15T12:07:38+01:00,"Macelleria F.lli Torresani Carni-salumi-speck",,,,46.42093,11.088926,"Via S. Stefano, 48 Cloz",,,,,"Via S. Stefano, 48 Cloz",,,0463-874558,
d0869da7b76a7c9a776cb81880462d31,2015-01-15T12:09:55+01:00,2015-01-15T12:09:55+01:00,"Progettazione Rilievi topograf. geom. Zanoni Franco",,,,46.41763,11.08546,"via S. Maria 48 Cloz",,,,,"via S. Maria 48 Cloz",,,0463-874584,
f9ed274977270a19c6695fee786f26a3,2015-01-15T12:11:45+01:00,2015-01-15T12:11:45+01:00,"Termoimpianti Floretta Giorgio",,,,46.416488,11.084705,Cloz,,,,,"Via a Palù, 13 Cloz",,,0463-874540,
d65d0a0b5eff50cc0d7037032c837a66,2015-07-30T17:07:13+02:00,2019-06-21T15:23:02+02:00,Rankipino,"Percorso su strade sterrate   dal fondo curato che attraversa a mezza montagna il tratto di Val di Non compreso tra il Passo Palade, in provincia di Bolzano, e Mostizzolo, all'imbocco della Val di Sole. Lungo il percorso, all'altezza del campo sportivo sito in località PlanPalù di Cloz, potrete inoltre godere del nuovo bar EL BALU' http://rankipino.it/","La Pista rampi pedonale “RankiPino” si sviluppa nel cuore del territorio delle Maddalene e collega il Passo delle Palade alla località Mostizzolo, che corrisponde all'imbocco della pista ciclabile della Val di Sole.Per lunghi tratti sterrata, è accessibile a tutti e non presenta difficoltà tecniche; sono presenti solo alcuni brevi tratti ripidi che richiedono attenzione per i meno esperti.  Il percorso “Rankipino” attraversa cinque centri abitati compresi nell’area delle Maddalene: Senale, Rumo, Livo , Bresimo e Cis. Il tratto compreso tra il paese di Cloz e la località “Frari” tra Revò e Rumo si presenta perfettamente pianeggiante poiché segue un vecchio canale irriguo e può essere percorso con facilità nelle due direzioni da tutti.Per ulteriori info e dettaglio clicca qui  ","Pista ciclabile",46.422505,11.079412,"Cloz, Comunit&agrave; della Val di Non, TN, Trentino-Alto Adige, 38021, Italia",/var/cloz/storage/images/territorio/luoghi-e-punti-di-interesse/rankipino/rankipino/30605-1-ita-IT/Rankipino.jpg,,,"http://rankipino.it/|vedi link per ulteriori info",,,,,"Rankipino
Mappa Rankipino
Pramena
Bellissimmi passaggi nel bosco"
47832a18ad01d14df9d4f7d3ce706a32,2015-07-30T17:16:56+02:00,2015-08-03T19:16:01+02:00,"Parco Giochi comunale","Il parco giochi pubblico, situato a ridosso della chiesa di Santo Stefano, è attrezzato con giochi per bambini e ospita un campo da calcetto.",,"Parco giochi",0,0,,/var/cloz/storage/images/territorio/luoghi-e-punti-di-interesse/parco-giochi-comunale/30638-2-ita-IT/Parco-Giochi-comunale.jpg,,,,,,,,
523feaeed8eb6a43e180203f88ad1a71,2015-07-31T21:56:51+02:00,2016-08-25T10:03:51+02:00,"Malga di Cloz","La malga di Cloz, a 1732 metri di altitudine, è situata nel cuore delle Maddalene, poco distante dalla strada che porta in Val d’Ultimo, dove, da un ampio parcheggio, si imbocca una strada forestale leggermente in salita; la malga si raggiunge in dieci minuti. La nuova gestione è stata affidata a Floretta Mirko.Tramite il sentiero “Bonacossa”, molto agevole e panoramico, la malga è collegata a quella di Revò e alla Kessel Alm per arrivare fino a Proves; lungo il percorso sono collocati molti pannelli didattici su piante e fiori locali.","Qui sotto vi proponiamo due immagini relative al giro delle malghe delle Maddalene, escursione molto semplice ma molto suggestiva.",Malga,46.501487,11.037954,,/var/cloz/storage/images/territorio/luoghi-e-punti-di-interesse/malga-di-cloz2/30854-1-ita-IT/Malga-di-Cloz.jpg,,"Malga di Cloz",http://www.malgadicloz.it/,,,,,"giro delle maddalene mappa
Malga di Cloz
Malga di Cloz
Malga di Cloz
Malga di Cloz"
e39164c2e18869d903f0408730afb2a7,2015-07-31T23:23:42+02:00,2015-07-31T23:38:07+02:00,"Campo Sportivo PlanPalù","Situata al limita del bosco, in Località PlanPalù, a 900 metri di altezza, l'area sportiva ospita un campo da calcio regolamentare, circondata dalla pista ciclabile Rankipino.Punto di partenza per escursioni e passeggiate sul monte Ozolo.",,"Centro sportivo",11.080965,11.080965,,,,,,,,,,"Campo da Calcio dall'alto
Campo da Calcio e Bicigrill
Fontana del Brenzat
Strada per la cima
Nei dintorni del impianto sportivo"
ece8380e26cb181f80f58160f4a8a04f,2016-07-08T14:31:58+02:00,2016-07-08T14:31:58+02:00,"Parco Giochi comunale","Il nostro nuovo parco giochi comunale, messo a nuovo ed in sicurezza per tutti i bimbi grandi e piccoli.L'accesso è libero!L'area dispone anche di un campo da calcetto.",,,46.419956,11.087094,"Waltherbrunnen, Piazza Walther, Wendlandthof, Bolzano, Trentino-Alto Adige, 39100, Italia",/var/cloz/storage/images/territorio/luoghi-e-punti-di-interesse/parco-giochi-comunale2/53386-1-ita-IT/Parco-Giochi-comunale.jpg,"Regolamento dei parchi e giardini pubblici","Parco Giochi",,,,,,"7
3
4
5
8
1
2
6"
d9c4b0a21bdfe1878a1f2e2d91a3bd4a,2016-07-08T17:27:16+02:00,2016-07-08T17:27:16+02:00,"Ristorante al Molin","Ristorante e bar a Cloz, in piazza si Santa Maria 13, lungo la SS42.",,,46.41616,11.084325,"Waltherbrunnen, Piazza Walther, Wendlandthof, Bolzano, Trentino-Alto Adige, 39100, Italia",/var/cloz/storage/images/territorio/luoghi-e-punti-di-interesse/ristorante-al-molin/53400-1-ita-IT/Ristorante-al-Molin.png,,,http://ristorantealmolin.com/,,,,,
