LOC:Id;LOC:Latitude;LOC:Longitude
0;46.42895910089672;11.69501436993644
1;46.39306803994184;11.79966541195878
2;46.28583945210038;11.46457011172124
3;46.12657227184545;11.25197968539958
4;46.07192313475388;11.2355336310515
5;46.35474;11.492738
6;46.04093342207616;11.12254142761231
7;46.02759;11.04461
8;46.28242112351411;11.52382518929917
9;46.46179584266813;11.78428310124411
10;46.129722;11.243889
11;46.176205;11.212296
12;46.140278;11.256389
13;46.181111;11.263333
14;46.134444;11.249167
15;46.137857;11.256437
16;46.141667;11.218056
18;46.0610376356;11.2408912181854
19;46.0656680136228;11.6557645797729
20;46.03849;11.058583
22;46.069568;11.115417
23;46.038445;11.058484
24;46.023118;11.03803
25;46.046459;11.171936
26;46.020449;11.041817
27;46.038982;11.05688
29;46.223611;11.264444
31;46.161111;11.301944
32;46.196;11.207999
33;46.108056;11.239444
34;46.140599;11.22129
35;46.1243633;11.1806773
36;46.1425;11.193056
37;46.175833;11.166667
38;46.160278;11.186389
39;46.135556;11.245833
40;46.13089;11.20333
41;46.175556;11.223056
42;46.159722;11.299167
43;46.160278;11.160278
44;46.160278;11.294444
45;46.0886;11.1822
46;46.217778;11.3275
47;46.1662;11.3542
48;46.11487;11.2258
49;46.2352;11.2513
50;46.126111;11.253889
51;46.175556;11.166667
52;46.196944;11.205278
53;46.207778;11.265833
54;46.153711;11.278925
55;46.134167;11.249167
56;46.18175;11.269611
57;46.180833;11.263611
58;46.142994;11.222609
59;46.125278;11.253889
60;46.165;11.300278
61;46.237503;11.267382
62;46.179277;11.32375
63;46.12397;11.178523
64;46.134444;11.261389
65;46.214783;11.192523
66;46.229167;11.297778
67;46.041443;11.059602
69;46.0800479974203;11.2791180610657
70;46.0571811723065;11.2373399734497
71;46.3145499;11.59859
72;46.2899160796197;11.4773225784302
73;46.3283575936004;11.6015410423279
74;46.2854083468179;11.4654350280762
75;46.2507724396429;11.5033292770386
76;46.26215;11.480902
77;46.2903534878932;11.4601349830627
78;46.3093514280608;11.6400146484375
79;46.2921357;11.4407586
80;46.3111901;11.6588808
81;46.0045932557448;11.2592697143555
82;46.0904956970005;11.5986442565918
83;46.0048615363479;11.2602138519287
84;46.0282565610645;11.2328338623047
85;46.0676480888854;11.6337060928345
86;46.0065755206029;11.2474679946899
87;46.005;11.2615
88;46.1140627241198;11.6182136535645
89;46.0024389;11.254469
90;46.0371649293121;11.2363958358765
91;46.0080808021035;11.2860488891602
92;46.041953701001;11.6472887992859
93;46.0034605010773;11.2566947937012
94;46.0730371069234;11.455864906311
95;46.0071269651149;11.2461805343628
96;46.0044449;11.2874144
97;46.0023724385711;11.255042552948
98;46.349564086059;11.5481328964233
99;46.3360248787215;11.701340675354
100;46.2880329600445;11.3273549079895
101;46.2631172;11.3381855
102;46.3238752528079;11.7449855804443
103;46.2646294288033;11.4804553985596
104;46.2985894558939;11.8045091629028
105;46.3289428638825;11.7046022415161
106;46.2602828059463;11.5990304946899
107;46.3386026229791;11.8013763427734
108;46.3524818348526;11.4842534065247
109;46.3127456057221;11.6890454292297
110;46.3537110935444;11.4651560783386
111;46.3471053544758;11.5595483779907
112;46.2420024501933;11.5040373802185
113;46.2602234640007;11.5980434417725
114;46.3199927302501;11.3213896751404
115;46.293059410579;11.7783737182617
116;46.3430763503906;11.436939239502
117;46.3473423454688;11.4312744140625
118;46.3558437177257;11.4958190917969
119;46.3616931970851;11.5437984466553
120;46.3006352828755;11.79283618927
121;46.3133829169193;11.8148946762085
122;46.3722206819016;11.5334987640381
123;46.1743775329804;11.4402437210083
124;46.3405136307985;11.5790319442749
125;46.3377730173987;11.5498924255371
126;46.2648667771252;11.4296436309814
127;46.3218302943519;11.7961835861206
128;46.3217413813807;11.6969203948975
129;46.3433726108052;11.7014694213867
130;46.2013691740937;11.3793253898621
131;46.3436096179811;11.5401935577393
132;46.3581835846143;11.5407514572144
133;46.3510155744718;11.5467596054077
134;46.3120934656518;11.7751979827881
135;46.3616487730195;11.5586042404175
136;46.281834518719;11.7666792869568
