Name
Ala,
Albiano,
Aldeno,
Aldino
Altavalle
Amblar
Andalo
Andriano
Anterivo
Appiano sulla Strada del Vino
Arco
Avelengo
Avio
Badia
Barbiano
Baselga di Pin�
Bedollo
Bersone
Besenello
Bieno
Bleggio Superiore
Bocenago
Bolbeno
Bolzano
Bondo
Bondone
Borgo Valsugana
Bosentino
Braies
Breguzzo
Brennero
Brentonico
Bresimo
Bressanone
Brez
Brione
Bronzolo
Brunico
Caderzone Terme
Cagn�
Caines
Calavino
Calceranica al Lago
Caldaro sulla Strada del Vino
Caldes
Caldonazzo
Calliano
Campitello di Fassa
Campo di Trens
Campo Tures
Campodenno
Canal San Bovo
Canazei
Capriana
Carano
Carisolo
Carzano
Castel Condino
Castelbello-Ciardes
Castelfondo
Castello Tesino
Castello-Molina di Fiemme
Castelnuovo
Castelrotto
Cavalese
Cavareno
Cavedago
Cavedine
Cavizzana
Cembra Lisignago
Centa San Nicol�
Cermes
Chienes
Chiusa
Cimego
Cimone
Cinte Tesino
Cis
Civezzano
Cles
Cloz
Comano Terme
Commezzadura
Condino
Coredo
Cornedo all'Isarco
Cortaccia sulla Strada del Vino
Cortina sulla Strada del Vino
Corvara in Badia
Croviana
Cunevo
Curon Venosta
Daiano
Dambel
Daone
Dar�
Denno
Dimaro
Dobbiaco
Don
Dorsino
Drena
Dro
Egna
Faedo
Fai della Paganella
Falzes
Fiav�
Fi� allo Sciliar
Fiera di Primiero
Fierozzo
Flavon
Folgaria
Fondo
Fornace
Fortezza
Frassilongo
Funes
Gais
Gargazzone
Garniga Terme
Giovo
Giustino
Glorenza
Grigno
Imer
Isera
Ivano-Fracena
La Valle
Laces
Lagundo
Laion
Laives
Lana
Lardaro
Lasa
Lasino
Lauregno
Lavarone
Lavis
Ledro
Levico Terme
Livo
Lona-Lases
Luserna
Luson
Magr� sulla Strada del Vino
Mal�
Malles Venosta
Malosco
Marebbe
Marlengo
Martello
Massimeno
Mazzin
Meltina
Merano
Mezzana
Mezzano
Mezzocorona
Mezzolombardo
Moena
Molveno
Monclassico
Monguelfo-Tesido
Montagna
Montagne
Mori
Moso in Passiria
Nago-Torbole
Nalles
Nanno
Naturno
Nave San Rocco
Naz-Sciaves
Nogaredo
Nomi
Nova Levante
Nova Ponente
Novaledo
Ora
Ortisei
Ospedaletto
Ossana
Padergnone
Pal� del Fersina
Panchi�
Parcines
Peio
Pellizzano
Pelugo
Perca
Pergine Valsugana
Pieve di Bono
Pieve Tesino
Pinzolo
Plaus
Pomarolo
Ponte Gardena
Postal
Pozza di Fassa
Praso
Prato allo Stelvio
Predazzo
Predoi
Preore
Prezzo
Proves
Rabbi
Racines
Ragoli
Rasun-Anterselva
Renon
Rev�
Rifiano
Rio di Pusteria
Riva del Garda
Rodengo
Romallo
Romeno
Roncegno Terme
Ronchi Valsugana
Roncone
Ronzo-Chienis
Ronzone
Rover� della Luna
Rovereto
Ruffr�-Mendola
Rumo
Sagron Mis
Salorno
Samone
San Candido
San Genesio Atesino
San Leonardo in Passiria
San Lorenzo di Sebato
San Lorenzo in Banale
San Martino in Badia
San Martino in Passiria
San Michele all'Adige
San Pancrazio
Santa Cristina Valgardena
Sant'Orsola Terme
Sanzeno
Sarentino
Sarnonico
Scena
Scurelle
Segonzano
Selva dei Molini
Selva di Val Gardena
Senales
Senale-San Felice
Sesto
Sfruz
Silandro
Siror
Sluderno
Smarano
Soraga
Sover
Spera
Spiazzo
Spormaggiore
Sporminore
Stelvio
Stenico
Storo
Strembo
Strigno
Taio
Tassullo
Telve
Telve di Sopra
Tenna
Tenno
Terento
Terlago
Terlano
Termeno sulla Strada del Vino
Terragnolo
Terres
Terzolas
Tesero
Tesimo
Tione di Trento
Tires
Tirolo
Ton
Tonadico
Torcegno
Trambileno
Transacqua
Trento
Tres
Trodena nel parco naturale
Tubre
Tuenno
Ultimo
Vadena
Val di Vizze
Valdaora
Valfloriana
Vallarsa
Valle Aurina
Valle di Casies
Vandoies
Varena
Varna
Vattaro
Velturno
Verano
Vermiglio
Verv�
Vezzano
Vignola-Falesina
Vigo di Fassa
Vigo Rendena
Vigolo Vattaro
Villa Agnedo
Villa Lagarina
Villa Rendena
Villabassa
Villandro
Vipiteno
Volano
Zambana
Ziano di Fiemme
Zuclo
